group,features,feature_count,group_mean_abs_shap,group_total_abs_shap,mean_abs_shap_per_feature
PE Header,"header_coff_timestamp, header_optional_sizeof_code, sections_count, header_optional_sizeof_headers",4,6.620401,6620.4014,1.6551002
API Import,api_calls_count,1,0.79036814,790.36816,0.79036814
